"Jahr";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";
"Land";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";"SH";
"Thema";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";"1)";
"Januar";"";"128665";"125344";"132388";"145156";"147494";"180032";"162794";"133258";"118778";"114961";"119461";"117330";"109857";"109002";"111656";"106411";"104989";"100271";"96221";"86725";
"Februar";"";"128432";"126618";"132469";"147999";"147942";"179819";"162211";"132596";"117599";"115930";"120848";"116733";"110630";"109654";"111846";"106364";"104775";"100704";"95164";"85141";
"März";"";"122825";"122001";"125010";"143083";"143507";"175541";"157321";"129966";"114368";"116033";"117757";"112460";"106545";"106977";"107731";"102494";"101208";"96986";"91712";"82189";
"April";"";"115296";"116017";"118808";"137079";"137562";"168664";"149203";"124540";"110765";"114288";"111043";"106590";"102027";"103014";"101900";"97962";"96668";"92590";"87464";"78658";
"Mai";"";"108497";"110237";"115400";"132408";"131539";"160955";"140168";"119914";"106645";"109476";"105836";"102263";"97330";"99392";"99315";"94899";"93677";"89899";"83899";"78496";
"Juni";"";"105697";"108008";"114924";"131864";"132150";"158116";"135014";"115837";"102273";"107622";"102310";"99715";"96563";"97634";"97372";"93262";"90466";"89567";"81638";"77067";
"Juli";"";"110158";"113311";"118798";"134278";"135303";"159219";"136961";"118214";"104837";"110606";"105800";"102931";"100733";"101428";"100584";"96532";"92410";"90919";"84445";"80360";
"August";"";"109574";"113054";"116556";"131900";"132578";"154969";"136233";"117434";"106287";"112132";"105372";"100576";"97703";"98697";"99979";"97843";"94281";"93853";"84879";"79277";
"September";"";"106705";"111053";"116254";"129861";"131262";"150135";"130826";"110546";"101801";"106719";"98933";"96059";"93758";"96817";"95635";"94274";"90615";"89566";"79815";"76296";
"Oktober";"";"106474";"111666";"117666";"130277";"132550";"148542";"126937";"107916";"99955";"103954";"97579";"95825";"92744";"96785";"93832";"92847";"88558";"87435";"78551";"76237";
"November";"";"110800";"116983";"123907";"134079";"138639";"149790";"125754";"108148";"100714";"104903";"98909";"95149";"94256";"98770";"94480";"94258";"89319";"87926";"77707";"…";
"Dezember";"121624";"117069";"123001";"131755";"139617";"146722";"152505";"126469";"110077";"103895";"107846";"103775";"98705";"98429";"102811";"97154";"97048";"92755";"89488";"79139";"…";
"Durchschnitt";"";"114183";"116441";"121995";"136467";"138104";"161524";"140824";"119037";"107326";"110373";"107302";"103695";"100048";"101748";"100957";"97850";"94977";"92434";"85053";"";
"Insgesamt";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"";
"(1) Arbeitslose"
"Einheit";"Anzahl"
"Erläuterung";"Ergebnisse sind vorläufig, die jeweils aktuellen Werte sind im Internetangebot (www.statistik.arbeitsagentur.de) der Bundesagentur für Arbeit als detaillierte Übersichten zu finden."
"Letzte Aktualisierung";"25.11.2019"
"Quelle";"Arbeitsmarktstatistik der Bundesagentur für Arbeit"
"© Statistisches Amt für Hamburg und Schleswig-Holstein: 2019"
